task_id,skill_id,edubench_scenario,subject,education_level,difficulty,context,user_prompt,expected_output,rubric,education_stage
differentiation-adapter__02,differentiation-adapter,Personalized Content Creation,Science,Middle School (8th Grade),medium,An 8th-grade science class is studying plant biology. The teacher has an EAL (English as an Additional Language) student at an intermediate level who understands the scientific concepts well but struggles with academic vocabulary and constructing complex English sentences.,"I teach 8th-grade science. The original task is: 'Write a three-paragraph explanation of photosynthesis. Your explanation must use scientific terminology (e.g., chlorophyll, stomata, glucose) and include a fully labeled diagram showing the inputs and outputs of the process.' The learning objective is: 'Explain the process of photosynthesis and identify its inputs and outputs.' I have a student who is EAL (English as an Additional Language) at an intermediate level. They understand the scientific concepts well but struggle with academic vocabulary and constructing complex English sentences. Adapt this task for this student. Include the adapted task, what changed and stayed the same, an objective check, and implementation notes.","An adapted science task providing language scaffolds like a word bank, sentence frames, or a glossary, while retaining the requirement for a labeled diagram and scientific explanation. A section detailing the language supports added and the scientific rigor maintained. An objective check confirming the explanation of photosynthesis is still required. Implementation notes on assessing content versus language proficiency.","[{""criterion"": ""Appropriate Language Scaffolding"", ""points"": 20, ""description"": ""The adapted task provides targeted language supports (e.g., word bank, sentence frames, glossary, or alternative expression modes) that address the EAL student's vocabulary and sentence construction barriers.""}, {""criterion"": ""Maintenance of Scientific Rigor"", ""points"": 20, ""description"": ""The core scientific concepts, the requirement to explain photosynthesis, and the labeled diagram are fully maintained; the adaptation does not reduce the cognitive demand of the science content.""}, {""criterion"": ""Explicit Change/Maintenance Analysis"", ""points"": 20, ""description"": ""Explicitly details the language scaffolds added (changed) and the scientific rigor, diagram requirement, and learning objective maintained (stayed the same).""}, {""criterion"": ""Objective Verification"", ""points"": 20, ""description"": ""Verifies that the student is still required to explain the process of photosynthesis and identify inputs and outputs, ensuring the scientific objective is unchanged.""}, {""criterion"": ""Practical Implementation Notes"", ""points"": 20, ""description"": ""Offers practical classroom strategies, such as how to introduce the scaffolds to the whole class or how to assess scientific understanding separately from English language proficiency.""}]",middle_school
differentiation-adapter__03,differentiation-adapter,Personalized Content Creation,History,High School (11th Grade),hard,"An 11th-grade History class is studying the French Revolution. The teacher has a gifted student who finishes standard tasks very quickly, finds the standard essay format repetitive, and needs deeper intellectual challenge rather than just more of the same work.","I teach 11th-grade History. The original task is: 'Read Source A (a speech by Robespierre) and Source B (a letter from a Parisian baker). Write a five-paragraph essay evaluating the reliability and utility of each source in explaining the causes of the French Revolution.' The learning objective is: 'Evaluate the reliability and utility of primary sources regarding the causes of the French Revolution.' I have a gifted student who finishes standard tasks very quickly, finds the standard essay format repetitive, and needs deeper intellectual challenge rather than just more work. Adapt this task for this student. Provide the adapted task, what changed and stayed the same, an objective check, and implementation notes.","An adapted history task that increases depth and complexity, such as adding a third conflicting source, requiring synthesis of historiography, or evaluating the sources through a specific theoretical lens, without just assigning more pages. A section explaining the increased cognitive demand and maintained core objective. An objective check confirming source evaluation is still the focus. Implementation notes on managing the extension.","[{""criterion"": ""Increased Depth and Complexity"", ""points"": 20, ""description"": ""The adapted task increases intellectual challenge through depth and complexity (e.g., adding a conflicting source, requiring historiographical synthesis, or applying a specific analytical lens) rather than simply assigning more writing volume.""}, {""criterion"": ""Maintenance of Core Objective"", ""points"": 20, ""description"": ""The fundamental learning objective of evaluating the reliability and utility of primary sources regarding the French Revolution remains the exact same destination.""}, {""criterion"": ""Explicit Change/Maintenance Analysis"", ""points"": 20, ""description"": ""Clearly explains that the cognitive demand and analytical complexity increased (changed) while the core skill of source evaluation and historical context remained the focus (stayed the same).""}, {""criterion"": ""Objective Verification"", ""points"": 20, ""description"": ""Confirms that the student is still evaluating reliability and utility, but at a deeper, more abstract level of analysis, explicitly linking the adaptation back to the original objective.""}, {""criterion"": ""Practical Implementation Notes"", ""points"": 20, ""description"": ""Provides advice on managing the extension task, ensuring the student is appropriately challenged, and how to integrate this work without alienating them from the rest of the class or creating a separate track.""}]",high_school
motivation-diagnostic-task-redesign__01,motivation-diagnostic-task-redesign,Personalized Content Creation,Mathematics,Grade 7 (Middle School),easy,"A mathematics teacher has assigned a routine practice worksheet on adding and subtracting fractions with unlike denominators. The worksheet contains 30 problems of increasing difficulty. Students work silently at their desks for 25 minutes. The teacher has noticed that students rush through the problems, make careless errors on the later questions, and when the teacher reviews answers the next day, many students cannot explain their work or remember how to solve similar problems. The teacher wants to understand why students are disengaged and how to redesign the task.","I'm a Grade 7 math teacher. My current task is: Students complete a 30-problem worksheet on adding and subtracting fractions with unlike denominators, working silently at their desks for 25 minutes. The learning objective is for students to accurately add and subtract fractions with unlike denominators. I've noticed students rush through, make careless errors, and can't explain their work the next day. Please diagnose what's going wrong motivationally and redesign this task to improve engagement without reducing the mathematical rigor.","A diagnosis grounded in the observed student behavior and task design; a redesigned task that preserves the learning objective and rigor while improving meaningful choice, perceived capability, relevance, and engagement; clear rationale for each modification; and practical implementation guidance.","[{""criterion"": ""Motivational Diagnosis"", ""points"": 25, ""description"": ""Identifies multiple plausible motivational problems using concrete evidence from the task and observed student behavior.""}, {""criterion"": ""Motivation Pattern Analysis"", ""points"": 15, ""description"": ""Explains whether students show disengagement, superficial compliance, or meaningful engagement, with evidence rather than requiring theoretical labels.""}, {""criterion"": ""Redesigned Task Completeness and Rigor"", ""points"": 25, ""description"": ""Provides a complete, detailed redesigned task that maintains or increases mathematical rigor (students must still demonstrate accurate fraction operations) while addressing the diagnosed motivation gaps.""}, {""criterion"": ""Motivational Alignment and Balance"", ""points"": 20, ""description"": ""Links redesign choices to diagnosed motivational problems, balances student choice with sufficient structure, and avoids relying on extrinsic rewards.""}, {""criterion"": ""Implementation Guidance"", ""points"": 15, ""description"": ""Provides practical notes on how to introduce the redesigned task, what student responses to anticipate, and how to adjust if the redesign does not work as intended.""}]",middle_school
motivation-diagnostic-task-redesign__02,motivation-diagnostic-task-redesign,Personalized Content Creation,History,Grade 10 (High School),medium,"A high school history teacher assigns a traditional research essay on the causes of the French Revolution. Students choose from a teacher-provided list of five topics (economic crisis, Enlightenment ideas, social inequality, weak leadership, or influence of the American Revolution). The essay must be 5 paragraphs, use at least 3 primary sources from a provided packet, and follow a strict five-paragraph structure. The teacher has observed that students produce formulaic essays that sound similar to each other, few students engage deeply with the primary sources, and many students express that they 'don't see the point' of the assignment. Some students complete the essay but seem to go through the motions without genuine intellectual engagement.","I teach Grade 10 History. My current task is: Students write a 5-paragraph essay on one of five teacher-selected topics about causes of the French Revolution, using at least 3 primary sources from a provided packet, following a strict five-paragraph structure. The learning objective is for students to analyze multiple causes of the French Revolution and support their analysis with historical evidence. Students produce formulaic essays, don't engage deeply with sources, and say they 'don't see the point.' Please diagnose the motivation problems and redesign this task to foster genuine engagement while maintaining or increasing the historical thinking rigor.","A diagnosis grounded in the observed student behavior and task design; a redesigned task that preserves the learning objective and rigor while improving meaningful choice, perceived capability, relevance, and engagement; clear rationale for each modification; and practical implementation guidance.","[{""criterion"": ""Motivational Diagnosis"", ""points"": 20, ""description"": ""Identifies multiple plausible motivational problems using concrete evidence from the task and observed student behavior.""}, {""criterion"": ""Motivation Pattern Analysis"", ""points"": 15, ""description"": ""Explains whether students show disengagement, superficial compliance, or meaningful engagement, with evidence rather than requiring theoretical labels.""}, {""criterion"": ""Redesigned Task Completeness and Rigor"", ""points"": 25, ""description"": ""Provides a complete redesigned task that maintains or increases historical thinking rigor (analysis, evidence use, argumentation) while addressing motivation gaps through structured choice, meaningful rationale, and authentic audience or purpose.""}, {""criterion"": ""Motivational Alignment and Balance"", ""points"": 25, ""description"": ""Links redesign choices to diagnosed motivational problems, balances student choice with sufficient structure, and avoids relying on extrinsic rewards.""}, {""criterion"": ""Implementation Guidance"", ""points"": 15, ""description"": ""Provides practical guidance on transitioning from traditional essay format, anticipating student resistance or confusion, scaffolding the new task structure, and adjusting based on student response.""}]",high_school
motivation-diagnostic-task-redesign__03,motivation-diagnostic-task-redesign,Personalized Content Creation,Chemistry,Advanced Placement / College Preparatory,hard,"An AP Chemistry teacher has designed a lab investigation where students follow detailed step-by-step instructions to determine the molar mass of an unknown gas using the ideal gas law. The lab manual provides exact measurements, procedures, data tables, and calculation steps. Students work in pairs and have 90 minutes to complete the lab and write a brief conclusion. The teacher has observed that students follow instructions mechanically without understanding why they are performing each step, cannot explain their results or connect them to gas law concepts, and treat the lab as a recipe to complete rather than an investigation. When asked to predict what would happen if they changed a variable, students are unable to reason about the system. The teacher wants to redesign the lab to promote deeper conceptual understanding and genuine scientific engagement while still meeting AP curriculum requirements for gas law applications.","I teach AP Chemistry. My current task is: Students follow a detailed step-by-step lab manual to determine the molar mass of an unknown gas using the ideal gas law, working in pairs for 90 minutes with exact measurements and procedures provided. The learning objective is for students to apply the ideal gas law to determine molar mass and understand gas behavior. Students follow instructions mechanically, can't explain their results or connect them to concepts, and can't reason about what would happen if variables changed. Please diagnose the motivation problems and redesign this lab to promote deeper scientific thinking and engagement while meeting AP requirements for gas law applications.","A diagnosis grounded in the observed student behavior and task design; a redesigned task that preserves the learning objective and rigor while improving meaningful choice, perceived capability, relevance, and engagement; clear rationale for each modification; and practical implementation guidance.","[{""criterion"": ""Motivational Diagnosis"", ""points"": 20, ""description"": ""Identifies multiple plausible motivational problems using concrete evidence from the task and observed student behavior.""}, {""criterion"": ""Motivation Pattern Analysis"", ""points"": 15, ""description"": ""Explains whether students show disengagement, superficial compliance, or meaningful engagement, with evidence rather than requiring theoretical labels.""}, {""criterion"": ""Redesigned Task Completeness and Rigor"", ""points"": 25, ""description"": ""Provides a complete redesigned inquiry-based lab that maintains AP-level rigor (students must still apply ideal gas law, analyze data, and draw conclusions) while promoting genuine scientific thinking, prediction, and reasoning about variables.""}, {""criterion"": ""Motivational Alignment and Balance"", ""points"": 25, ""description"": ""Links redesign choices to diagnosed motivational problems, balances student choice with sufficient structure, and avoids relying on extrinsic rewards.""}, {""criterion"": ""Implementation Guidance"", ""points"": 15, ""description"": ""Provides detailed guidance on transitioning AP students from procedural compliance to inquiry, scaffolding the shift appropriately, managing time constraints, addressing student anxiety about open-ended investigation, and adjusting based on student readiness levels.""}]",high_school
self-efficacy-builder-sequence__01,self-efficacy-builder-sequence,Personalized Content Creation,Mathematics,"Elementary (Year 4, ages 8-9)",easy,"A Year 4 student has strong number sense and can solve addition and subtraction problems confidently. However, when the class begins working on fractions (identifying halves, thirds, and quarters using visual models), the student immediately puts their head on the desk, refuses to pick up a pencil, and says 'I'm stupid at this' when prompted. The student has not attempted any fraction work in three weeks. The teacher has tried saying 'You can do it, just try!' and pairing the student with a high-achieving peer, but neither approach has worked.","I have a Year 4 student who completely shuts down when we start fraction work. They're great at addition and subtraction — quick mental maths, no problem. But the moment I bring out fraction bars or shaded diagrams, they put their head down and won't even try. They've said 'I'm stupid at this.' I've told them to just try harder and sat them next to our top maths student, but nothing's changed. It's been three weeks of zero fraction attempts. Can you help me design a step-by-step plan to get this student engaged and succeeding with fractions? I need specific things to say and do at each stage.","A structured sequence of 4-6 tasks starting from the student's existing strength with whole numbers, progressively building toward fraction identification. The sequence should include an efficacy diagnostic identifying the primary barrier, specific task descriptions with success criteria, teacher scripts for after success and when struggling, attribution coaching phrases to use and avoid, and a long-term maintenance plan. Tasks should increment by small steps, prioritize genuine mastery experiences, and avoid generic praise or peer comparison.","[{""criterion"": ""Identifies student's existing strength as starting point"", ""points"": 15, ""description"": ""The response explicitly identifies what the student CAN already do (strong number sense, addition/subtraction) and uses this as the foundation for the first task, rather than starting from zero.""}, {""criterion"": ""Task sequence has 4-6 progressive steps with small increments"", ""points"": 20, ""description"": ""The response provides 4-6 distinct tasks where each step increases difficulty by one small, achievable increment. The first task should be virtually guaranteed to succeed, and the final task should approach the target skill (identifying fractions using visual models).""}, {""criterion"": ""Mastery experiences are the primary intervention"", ""points"": 20, ""description"": ""The sequence prioritizes genuine success experiences (actually completing tasks successfully) as the main mechanism for building confidence, rather than relying primarily on encouragement, rewards, or watching others.""}, {""criterion"": ""Provides specific, credible attribution coaching"", ""points"": 15, ""description"": ""The response includes specific teacher language that attributes success to effort and strategy (e.g., 'You figured out the pattern because you counted the parts carefully') rather than ability ('You're so smart') or empty encouragement ('Good job!').""}, {""criterion"": ""Avoids generic praise, extrinsic rewards, and unhelpful comparisons"", ""points"": 15, ""description"": ""The response explicitly avoids or warns against generic praise ('You're clever!'), extrinsic reward systems (stickers, prizes), and comparing the student to higher-achieving peers. If mentioned, these are identified as counterproductive.""}, {""criterion"": ""Includes teacher scripts for success and struggle"", ""points"": 15, ""description"": ""Each task includes exact phrases the teacher can use after the student succeeds, plus specific guidance on what to do if the student struggles at that step (adjust the task, not abandon it).""}]",elementary
self-efficacy-builder-sequence__02,self-efficacy-builder-sequence,Personalized Content Creation,Science,"Middle School (Year 9, ages 13-14)",medium,"A Year 9 student is highly engaged during practical science experiments — they ask insightful questions, handle equipment confidently, and can explain their observations verbally with precision. However, when asked to write a lab report, the student produces only a title and one incomplete sentence, then stares at the page. When the teacher approaches, the student says 'I don't know how to write it properly' and 'Everyone else's is better anyway.' The student has excellent reading comprehension and can identify key information in textbooks. Previous interventions include giving the student a writing template and allowing extra time, but the student still produces minimal written output. The student has not completed a single full lab report this term.","One of my Year 9 students is a puzzle. During experiments, they're fantastic — hands-on, curious, can explain what's happening really well. But when it comes to writing the lab report, they completely freeze. They'll write a title and maybe half a sentence, then just stop. They say things like 'I don't know how to write it properly' and 'Everyone else's is better.' I've tried giving them a template and extra time, but they still barely write anything. They're a strong reader and can pull information from textbooks fine. It's just the writing of the report that stops them. I need a plan to help them bridge from their practical understanding to written scientific communication. What specific steps should I take, and what should I say to them?","A structured sequence of 4-6 tasks that bridges the student's strong practical/verbal skills to written lab reports. The sequence should diagnose the specific barrier (transfer from oral to written, perfectionism, comparison anxiety), start from the student's verbal/practical strength, include vicarious experience with a similar peer (not a top achiever), provide calibrated verbal persuasion tied to evidence, manage physiological anxiety around writing, and include detailed attribution coaching. Tasks should progress from oral/dictated content to structured writing to independent report writing.","[{""criterion"": ""Diagnostic identifies the specific nature of the barrier"", ""points"": 15, ""description"": ""The response analyzes which source of self-efficacy is most damaged and identifies the specific gap (e.g., transfer from verbal to written, perfectionism, social comparison) rather than treating it as generic 'can't write.'""}, {""criterion"": ""Sequence leverages student's existing strengths strategically"", ""points"": 20, ""description"": ""The first tasks build directly on the student's demonstrated strengths (verbal explanation, practical understanding, reading comprehension) to create early success, rather than starting with the hardest part (independent writing).""}, {""criterion"": ""Uses vicarious experience with a similar peer, not a top achiever"", ""points"": 15, ""description"": ""If peer modeling is included, it features someone similar to the student (same starting point, same struggles) rather than the highest-achieving student. The modeling shows the process of struggle-to-success, not just the final product.""}, {""criterion"": ""Tasks progress through 4-6 small increments to target skill"", ""points"": 20, ""description"": ""The sequence contains 4-6 distinct tasks with clear progression. Each step is achievable based on the previous success. The final task should be close to independent lab report writing at Year 9 level.""}, {""criterion"": ""Addresses physiological/anxiety component"", ""points"": 15, ""description"": ""The response includes strategies to reduce performance pressure (e.g., private work, drafts not finals, time limits, normalizing difficulty) and recognizes that anxiety itself undermines self-efficacy.""}, {""criterion"": ""Attribution coaching is specific and strategy-focused"", ""points"": 15, ""description"": ""Teacher scripts attribute success to specific strategies the student used (e.g., 'You organized your thoughts by talking first, then writing — that structure made it clearer') rather than generic praise or ability labels.""}]",middle_school
self-efficacy-builder-sequence__03,self-efficacy-builder-sequence,Personalized Content Creation,Modern Foreign Language,"High School (Year 11, ages 15-16)",hard,"A Year 11 student preparing for GCSE French has excellent written work — their essays are well-structured, grammar is accurate, and vocabulary is sophisticated. They score in the top quartile on reading and writing exams. However, they completely refuse to speak French in class. When called on to speak, they go silent, turn red, and eventually whisper 'I can't' in English. They avoid pair work by claiming they 'don't have a partner.' In the oral mock exam, they scored 12% despite knowing the content. The student has said privately: 'My accent is terrible and everyone laughs' and 'I freeze and forget everything I know.' The teacher has tried reassuring them ('Your French is fine!'), forcing them to speak ('You have to try'), and allowing them to read responses instead of speaking from memory. None of these have worked. The student's written French suggests they have strong knowledge of the language, but the speaking component threatens their overall grade.","I have a Year 11 student preparing for GCSE French who's in a difficult situation. Their written French is excellent — top marks, great grammar, sophisticated vocabulary. But they absolutely will not speak in class. If I call on them, they go completely silent, turn bright red, and eventually whisper in English 'I can't.' They've told me privately that their accent is terrible and everyone laughs, and that they freeze and forget everything. In the oral mock, they scored 12% even though they clearly know the material. I've tried telling them their French is fine, making them speak anyway, and letting them read instead of speaking from memory. Nothing works. Their speaking grade is going to tank their overall GCSE. I need a detailed plan to help them overcome this speaking block. What's the step-by-step approach, and exactly what should I say at each stage?","A sophisticated sequence addressing the complex interplay of physiological anxiety (blushing, freezing), social comparison (perception that others laugh), and domain-specific self-efficacy collapse (can write but not speak). The sequence must start from the student's strong written knowledge, address the physiological stress response directly, use carefully selected vicarious experiences, provide highly calibrated verbal persuasion tied to verifiable evidence, and progress through 4-6 tasks from private/non-threatening speaking to spontaneous classroom interaction. Attribution coaching must address the student's specific beliefs about accent and forgetting. The response should recognize this is a harder case because the student has evidence of competence in one modality but complete avoidance in another.","[{""criterion"": ""Diagnostic addresses the modality-specific nature of the barrier"", ""points"": 15, ""description"": ""The response recognizes that the student has high self-efficacy for written French but collapsed self-efficacy for spoken French, and analyzes why (physiological anxiety, social evaluation fear, perfectionism about accent) rather than treating it as general language inability.""}, {""criterion"": ""Sequence directly manages physiological anxiety state"", ""points"": 20, ""description"": ""The response includes specific strategies to reduce the physiological stress response (blushing, freezing, racing heart) such as private practice, gradual exposure, breathing techniques, or reframing physical sensations. It recognizes that anxiety itself is interpreted as evidence of inability.""}, {""criterion"": ""Tasks progress from private/low-stakes to public speaking"", ""points"": 20, ""description"": ""The 4-6 task sequence begins with completely private or non-evaluative speaking (e.g., recording alone, speaking to teacher only) and gradually increases social exposure. Each step is achievable and builds on the previous success. The final task approaches spontaneous classroom interaction.""}, {""criterion"": ""Addresses student's specific beliefs about accent and forgetting"", ""points"": 15, ""description"": ""The response directly tackles the student's stated concerns ('my accent is terrible,' 'I forget everything') with specific reframing or evidence-based counterarguments, rather than dismissing these concerns with generic reassurance.""}, {""criterion"": ""Verbal persuasion is tied to verifiable evidence from written work"", ""points"": 15, ""description"": ""Teacher scripts use the student's excellent written French as credible evidence ('You used the subjunctive correctly in your essay last week — that grammar is in your head already, we just need to get it out of your mouth') rather than empty reassurance ('Your French is fine!').""}, {""criterion"": ""Long-term plan addresses maintenance and regression prevention"", ""points"": 15, ""description"": ""The response includes guidance on maintaining gains beyond the initial sequence, recognizing that a single embarrassing moment could trigger regression. It provides specific strategies for responding to future difficulties without undermining the built self-efficacy.""}]",high_school
backwards-design-unit-planner__01,backwards-design-unit-planner,Teaching Material Generation,Mathematics,Middle School (6th Grade),easy,"A teacher needs to plan a short, foundational unit on applying fractions and decimals to real-world financial literacy and measurement contexts. The class is generally on-grade level but needs concrete, relatable examples to grasp abstract numerical concepts.","I am teaching 6th-grade math. I need a unit plan for a 2-week unit (10 lessons) on 'Using Fractions and Decimals in Everyday Life'. The desired outcomes are: Students will understand how fractions and decimals represent parts of a whole in real-world contexts (like money, cooking, and measuring), know how to convert between them and perform basic operations, and be able to create a balanced weekly budget using a given income. Please provide a comprehensive unit plan that includes: 1) The core transferable understandings and open guiding questions, 2) The specific knowledge and skills, 3) A culminating performance task and other assessments, 4) A lesson-by-lesson sequence, and 5) An alignment check showing how the lessons and assessments match the goals.","A structured unit plan containing Stage 1 (transferable enduring understandings, open essential questions, specific knowledge, and skills), Stage 2 (an authentic performance task like creating a budget with a scenario, product description, and success criteria, plus other mapped evidence), Stage 3 (a 10-lesson sequence building toward the performance task), and an Alignment Check verifying all outcomes are taught and assessed.","[{""criterion"": ""Stage 1: Enduring Understandings and Essential Questions"", ""points"": 20, ""description"": ""Enduring understandings are phrased as transferable principles ('Students will understand that...') rather than simple factual statements. Essential questions are open-ended, lack a single correct answer, and are designed to provoke inquiry and recur throughout the unit.""}, {""criterion"": ""Stage 1: Knowledge and Skills"", ""points"": 20, ""description"": ""Output clearly separates 'Knowledge' (facts, concepts, vocabulary) from 'Skills' (demonstrable abilities). Both are specific, measurable, and directly derived from the provided desired outcomes regarding fractions, decimals, and budgeting.""}, {""criterion"": ""Stage 2: Assessment Evidence"", ""points"": 20, ""description"": ""The culminating performance task requires authentic application or transfer of learning (e.g., creating a budget for a specific scenario), not mere recall. It includes a clear scenario, the expected student product, what it assesses, and brief success criteria. Other formative evidence is also provided and mapped to Stage 1.""}, {""criterion"": ""Stage 3: Learning Plan"", ""points"": 20, ""description"": ""The learning plan provides a logical, 10-lesson sequence. Activities explicitly build toward the Stage 2 assessments, scaffolding foundational knowledge and skills before requiring independent application in the final task.""}, {""criterion"": ""Alignment Check"", ""points"": 20, ""description"": ""Includes a distinct alignment verification section that explicitly maps every Stage 1 outcome to its corresponding Stage 2 assessment and Stage 3 instructional activities. Confirms tight alignment or explicitly flags and addresses any gaps.""}]",middle_school
backwards-design-unit-planner__02,backwards-design-unit-planner,Teaching Material Generation,History / Social Studies,High School (10th Grade),medium,A teacher is planning a unit on the Industrial Revolution. The class has a diverse mix of advanced readers and several English Language Learners (ELL). The teacher has access to a digital archive of primary sources and needs the unit to challenge advanced students while providing necessary scaffolds for ELL students.,"Design a 3-week unit plan for 10th-grade World History on 'The Human Cost of the Industrial Revolution'. Desired outcomes: Students will understand that rapid technological and economic shifts fundamentally alter human social structures, labor dynamics, and living conditions, often creating both unprecedented wealth and severe inequality. They will know key events, inventions, and reform movements (e.g., child labor laws, urbanization). They will be able to analyze primary sources from the era and draw parallels to modern technological disruptions. Context: The class has a mix of advanced readers and several English Language Learners. Available resources include a set of primary source documents from the 1800s and access to a digital archive. Include: 1) Enduring understandings and essential questions, 2) Knowledge and skills, 3) A performance task requiring historical transfer and other evidence, 4) A sequenced learning plan that addresses the diverse student profiles, 5) An alignment check.","A detailed unit plan with Stage 1 (transferable understandings about technological/social shifts, open questions about progress and inequality, specific historical knowledge, and analytical skills), Stage 2 (a performance task requiring historical transfer, such as comparing 19th-century primary sources to a modern tech disruption, with scaffolds for ELL and extensions for advanced readers), Stage 3 (a sequenced plan integrating the primary sources and differentiating for the mixed-ability profiles), and an Alignment Check.","[{""criterion"": ""Stage 1: Enduring Understandings and Essential Questions"", ""points"": 20, ""description"": ""Enduring understandings capture the complex, transferable relationship between technological change and social structures. Essential questions are genuinely open, debatable, and frame the inquiry into historical and modern parallels.""}, {""criterion"": ""Stage 1: Knowledge and Skills"", ""points"": 20, ""description"": ""Clearly delineates historical knowledge (events, inventions, reform movements) from analytical skills (primary source analysis, drawing historical parallels). Both are appropriately rigorous for 10th grade.""}, {""criterion"": ""Stage 2: Assessment Evidence"", ""points"": 20, ""description"": ""The performance task requires genuine historical transfer (applying historical analysis to a new or modern context). It includes specific success criteria and explicitly details how it is differentiated or scaffolded for the mixed-ability and ELL student profiles.""}, {""criterion"": ""Stage 3: Learning Plan"", ""points"": 20, ""description"": ""The sequence logically builds toward the performance task. It explicitly incorporates the provided resources (primary sources, digital archive) and includes specific instructional strategies or scaffolds tailored to the advanced readers and ELL students mentioned in the context.""}, {""criterion"": ""Alignment Check"", ""points"": 20, ""description"": ""Provides a clear verification mapping all Stage 1 outcomes to Stage 2 assessments and Stage 3 lessons. Ensures that the specific skills (like primary source analysis) and knowledge are both taught and assessed, flagging any misalignments.""}]",high_school
backwards-design-unit-planner__03,backwards-design-unit-planner,Teaching Material Generation,Environmental Science / Public Policy,University (Undergraduate Year 1),hard,"A university professor is designing a module for first-year students. The module must strictly align with specific international frameworks and utilize a specific set of academic and technical resources. The performance task must be a high-level, authentic policy document.","Create a 5-week university-level module plan for a first-year Environmental Policy course on 'Sustainable Urban Infrastructure'. Desired outcomes: Students will understand that urban sustainability requires balancing ecological limits, economic viability, and social equity (the triple bottom line), and that policy interventions often have unintended systemic consequences. They will know the principles of green infrastructure, zoning laws, and transit-oriented development. They will be able to evaluate existing city policies and propose evidence-based modifications. Curriculum framework: Must explicitly address UN Sustainable Development Goals 11 (Sustainable Cities) and 13 (Climate Action). Available resources: Excerpts from 'The Death and Life of Great American Cities', local municipal zoning codes, and GIS mapping software. Include: 1) Transferable understandings and open inquiry questions, 2) Knowledge and skills, 3) A complex, authentic performance task and formative evidence, 4) A weekly learning sequence integrating the specific resources and framework, 5) A rigorous alignment check verifying all outcomes are taught and assessed.","A sophisticated university-level module plan. Stage 1 includes deep, transferable understandings of the triple bottom line and systemic consequences, with complex essential questions. Stage 2 features a high-stakes, authentic performance task (e.g., a policy brief or zoning modification proposal) utilizing the GIS and zoning codes, with clear success criteria. Stage 3 is a 5-week sequence integrating the specific book excerpts, zoning codes, and GIS software, while explicitly addressing the UN SDGs. The Alignment Check rigorously maps all outcomes to the UN SDGs, assessments, and weekly activities.","[{""criterion"": ""Stage 1: Enduring Understandings and Essential Questions"", ""points"": 20, ""description"": ""Enduring understandings reflect university-level complexity, focusing on the triple bottom line and unintended systemic consequences of policy. Essential questions are highly open, provocative, and suitable for advanced academic inquiry.""}, {""criterion"": ""Stage 1: Knowledge and Skills"", ""points"": 20, ""description"": ""Knowledge includes specific policy principles (green infrastructure, zoning, transit-oriented development). Skills involve high-level evaluation and evidence-based proposal generation, appropriate for first-year university students.""}, {""criterion"": ""Stage 2: Assessment Evidence"", ""points"": 20, ""description"": ""The performance task is a complex, authentic policy document or proposal requiring the application of the triple bottom line and specific tools (like GIS or zoning codes). It includes a detailed scenario, product description, and rigorous success criteria. Formative evidence is also mapped to outcomes.""}, {""criterion"": ""Stage 3: Learning Plan"", ""points"": 20, ""description"": ""The 5-week sequence logically builds to the final policy task. It explicitly integrates the mandated resources (book excerpts, zoning codes, GIS software) and ensures the UN SDG framework is woven throughout the weekly activities, not just tacked on.""}, {""criterion"": ""Alignment Check"", ""points"": 20, ""description"": ""Provides a rigorous verification mapping all Stage 1 outcomes to Stage 2 assessments and Stage 3 lessons. Explicitly verifies alignment with the UN SDG framework and confirms that all complex skills and knowledge are both taught and assessed.""}]",graduate
lesson-builder__01,lesson-builder,Teaching Material Generation,Biology,Undergraduate,easy,"An introductory biology professor needs a specific active-learning component for a large, tiered lecture hall to help students visualize and sequence the phases of mitosis.","I need an in-class activity for my intro bio class (150 students, fixed tiered lecture hall) to help them understand the phases of mitosis. The learning outcome is: 'Students will be able to sequence and identify the key events of mitosis.' Please design the activity and provide the instructor logistics.","A detailed activity sheet that includes the timing, group size, required materials, a verbatim launch script for the instructor, potential failure modes with corresponding fixes, and accessibility/UDL considerations for the physical space.","[{""criterion"": ""Outcome Alignment"", ""points"": 20, ""description"": ""The activity directly targets the stated learning outcome of sequencing and identifying the key events of mitosis.""}, {""criterion"": ""Activity Logistics"", ""points"": 20, ""description"": ""The output explicitly states the timing, group size, and required materials for the activity.""}, {""criterion"": ""Launch Script"", ""points"": 20, ""description"": ""The output includes a verbatim launch script detailing exactly what the instructor should say to initiate the activity.""}, {""criterion"": ""Failure Modes and Fixes"", ""points"": 20, ""description"": ""The output identifies at least one potential failure mode for the activity and provides a concrete fix or contingency.""}, {""criterion"": ""UDL and Accessibility"", ""points"": 20, ""description"": ""The output includes accessibility considerations, such as physical navigation in a tiered hall, visual aid descriptions, or colorblind-safe material notes.""}]",graduate
